,T03,T04,T05,T06,T02,index
1939,0.0,0.0,0.0,0.0,5287,510
1940,0.0,0.0,0.0,0.0,5181,511
1941,0.0,0.0,0.0,0.0,5376,512
1942,0.0,0.0,0.0,0.0,5229,513
1943,0.0,0.0,0.0,0.0,5328,514
1944,0.0,0.0,0.0,0.0,5319,515
1945,0.0,0.0,0.0,0.0,5213,516
1946,0.0,0.0,0.0,0.0,5421,517
1947,0.0,0.0,0.0,0.0,5241,518
1948,0.0,0.0,0.0,0.0,5299,519
1950,0.0,0.0,0.0,0.0,5429,520
1951,0.0,0.0,0.0,0.0,5233,521
1952,0.0,0.0,0.0,0.0,5198,522
1953,0.0,0.0,0.0,0.0,5177,523
1954,0.0,0.0,0.0,0.0,5042,524
1955,0.0,0.0,0.0,0.0,4322,526
1956,0.0,0.0,0.0,0.0,5124,527
1957,0.0,0.0,0.0,0.0,5228,528
1958,0.0,0.0,0.0,0.0,5026,529
1960,0.0,0.0,0.0,0.0,5260,530
1961,0.0,0.0,0.0,0.0,5261,531
1962,0.0,0.0,0.0,0.0,4996,532
1963,0.0,0.0,0.0,0.0,4967,533
1964,0.0,0.0,0.0,0.0,5223,534
1965,0.0,0.0,0.0,0.0,5194,535
1966,0.0,0.0,0.0,0.0,5335,536
1967,0.0,0.0,0.0,0.0,5281,537
1968,0.0,0.0,0.0,0.0,5307,538
1969,0.0,0.0,0.0,0.0,5525,539
1971,0.0,0.0,0.0,0.0,5148,540
1972,0.0,0.0,0.0,0.0,5366,541
1973,0.0,0.0,0.0,0.0,5499,542
1974,0.0,0.0,0.0,0.0,5323,543
1975,0.0,0.0,0.0,0.0,5235,544
1976,0.0,0.0,0.0,0.0,5336,545
1977,0.0,0.0,0.0,0.0,5407,546
1978,0.0,0.0,0.0,0.0,5538,547
1979,0.0,0.0,0.0,0.0,5525,548
1980,0.0,0.0,0.0,0.0,5371,549
1982,0.0,0.0,0.0,0.0,5369,550
1983,0.0,0.0,0.0,0.0,5398,551
1984,0.0,0.0,0.0,0.0,5493,552
1985,0.0,0.0,0.0,0.0,5716,553
1986,0.0,0.0,0.0,0.0,5617,554
1987,0.0,0.0,0.0,0.0,5418,556
1988,0.0,0.0,0.0,0.0,5496,557
1989,0.0,0.0,0.0,0.0,5756,558
1990,0.0,0.0,0.0,0.0,5668,559
1992,0.0,0.0,0.0,0.0,5556,560
1993,0.0,0.0,0.0,0.0,5515,561
1994,0.0,0.0,0.0,0.0,5404,562
1995,0.0,0.0,0.0,0.0,5800,563
1996,0.0,0.0,0.0,0.0,5609,564
1997,0.0,0.0,0.0,0.0,5485,565
1998,0.0,0.0,0.0,0.0,5520,566
1999,0.0,0.0,0.0,0.0,4757,568
2000,0.0,0.0,0.0,0.0,5550,569
2002,0.0,0.0,0.0,0.0,5878,570
2003,0.0,0.0,0.0,0.0,5622,571
2004,0.0,0.0,0.0,0.0,5746,572
2005,0.0,0.0,0.0,0.0,6035,573
2006,0.0,0.0,0.0,0.0,5914,574
2007,0.0,0.0,0.0,0.0,5730,575
2008,0.0,0.0,0.0,0.0,5893,576
2009,0.0,0.0,0.0,0.0,5854,577
2010,0.0,0.0,0.0,0.0,5774,578
2011,0.0,0.0,0.0,0.0,5772,579
2013,0.0,0.0,0.0,0.0,6074,580
2014,0.0,0.0,0.0,0.0,5871,581
2015,0.0,0.0,0.0,0.0,5962,582
2016,0.0,0.0,0.0,0.0,5909,583
